,Código,Nome,Procedência,Qtd.,Un.,Custo,nome_peca
153,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,7.2,KG,42.72,030727 - SUPORTE TRASEIRO INTERNO - CHASSI CBH 6 2 EIXOS (M17)
154,120157,"CHAPA GQ 3/8 (9,53) 1010",Nacional - 0,7.19,KG,42.67,030444 - SUPORTE TRASEIRO - CHASSI CBH 6 2 EIXOS (M17)
155,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,0.72,KG,4.2,030537 - MÃO FRANCESA DIANTEIRA
156,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.16,KG,0.45,483023 - FECHAM LATERAL ICAM (M98) FA/CBHM
157,120278,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",Nacional - 0,2.39,KG,13.81,450819 - TRANSV N1 - PLATAF (6000) CBHM
158,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,7.0,KG,40.84,450820 - REFORCO DIANT - PLATAF (6000) CBHM
159,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,9.9,KG,57.76,"030540 - TRANSV DIANT - CHASSI CBH 6,0 2E"
160,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,8.61,KG,50.23,030508 - REFORÇO LONG CHASSI 2 EIXOS
161,120547,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Nacional - 0,27.7,KG,162.74,032855 - CORPO DA SOBRETAMPA LATERAL [CBH9]
162,120549,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300,Nacional - 0,0.48,KG,2.75,027603 - CANTONEIRA GUIA- ESTEIRA MÓVEL- MÁQ P/ COLHEITA DE FRUTAS
163,120134,"BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",Nacional - 0,9.68,KG,53.94,460709 - TRANSV FRONTAL - PLAT (3500/5000) CBHM
164,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,7.12,KG,41.54,025614 - HASTE TRACAO MENOR-ICAM MAIOR F4/F6/CBHM
165,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,63.04,KG,367.79,030494 - LONGARINA [CHASSI - CBH/CBHM-2E]
166,120203,"BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",Nacional - 0,6.94,KG,40.49,030506 - TRANSVERSINA DIANT/TRAS - CHASSI DA PLATAFORMA CBH/CBHM 6T 2E
167,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,2.95,KG,8.32,446282 - TRANSV MAIOR - ICAM (M98)F4/6
168,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,1.7,KG,4.8,446312 - TRANSV MENOR - ICAM (M98)F4/6
169,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.86,KG,2.43,030538 - FECHAMENTO TRAS LONGARINA
170,120305,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",Nacional - 0,0.07,KG,0.2,030388 - COMPLEMENTO BASE MÓVEL M17 BASE MÓVEL CBHM/CBH
